# M107 E(B-V)=0.33, m-M = 14.03
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I
184	16 32 54.346	-13 14 17.13	0.47	4.25	3.43	2.96	19.9965	18.8154	18.0610	16.8881
187	16 32 54.204	-13 05 53.67	0.68	1.00	0.16	-0.53	16.7524	15.5216	14.5635	13.4522
193	16 32 53.883	-13 11 54.06	0.87	1.66	0.55	-0.33	17.4099	15.8953	14.7579	13.4120
201	16 32 53.400	-13 13 54.27	0.67	3.60	2.91	2.24	19.3510	18.2782	17.3350	16.1309
202	16 32 53.524	-13 00 55.84	1.20	84.25	4.44	3.23	99.9999	19.7568	18.3098	16.5330
204	16 32 53.372	-12 58 02.81	0.82	2.24	1.11	0.29	17.9884	16.4681	15.3824	14.1808
210	16 32 53.014	-13 08 36.04	0.45	4.29	3.81	3.36	20.0374	19.1954	18.4584	17.3213
211	16 32 52.987	-13 06 01.34	0.45	4.66	4.13	3.68	20.4119	19.5153	18.7805	17.6334
231	16 32 52.148	-13 13 12.20	0.66	4.04	3.24	2.58	19.7898	18.6087	17.6731	16.5069
233	16 32 52.204	-13 00 53.61	0.86	2.13	0.93	0.07	17.8828	16.2838	15.1593	13.8882
240	16 32 51.723	-13 06 24.10	0.80	84.25	3.95	3.15	99.9999	19.3020	18.2358	16.9039
242	16 32 51.638	-12 59 16.29	1.03	84.25	3.60	2.56	99.9999	18.9322	17.6463	16.1185
244	16 32 51.324	-13 08 43.45	0.54	2.39	1.81	1.27	18.1448	17.1916	16.3681	15.3144
246	16 32 51.186	-13 08 05.89	0.60	84.25	4.51	3.91	99.9999	19.8856	19.0037	17.8059
250	16 32 50.734	-13 09 18.55	0.62	4.30	3.61	2.99	20.0457	18.9821	18.0881	16.8686
266	16 32 49.985	-13 00 00.60	0.70	4.78	3.82	3.13	20.5306	19.1877	18.2185	16.9099
267	16 32 49.802	-13 06 28.11	0.84	3.66	2.39	1.54	19.4047	17.7402	16.6319	15.3329
271	16 32 49.599	-13 12 28.15	0.63	2.97	2.29	1.65	18.7198	17.6583	16.7486	15.6421
281	16 32 49.339	-13 02 09.14	0.66	4.21	3.45	2.79	19.9612	18.8213	17.8850	16.7715
287	16 32 48.914	-13 07 37.63	0.63	84.25	4.47	3.83	99.9999	19.8371	18.9273	17.9170
