58232.6079     17.61      0.45
58482.8629     -9.70      0.17
58486.8532     -8.42      0.15
58495.8407     -5.75      0.16
58497.8571     -4.75      0.20
58508.8668     -0.18      0.21
58513.8789      1.61      0.18
58526.8176      3.17      0.19
58531.7989      5.63      0.19
58536.8226      6.50      0.22
58542.6569      5.53      0.22
58546.7947      7.37      0.24
58548.8428      6.01      0.21
58551.8030      6.55      0.21
58555.7295      5.23      0.21
58560.7437      4.68      0.22
58564.7735      4.43      0.19
58567.7123      3.69      0.19
58570.7484      3.11      0.19
58578.6719     -0.19      0.19
58580.7403     -1.69      0.17
58582.7650     -2.71      0.17
58593.7643     -6.47      0.16
58596.7537     -8.81      0.15
58606.6499    -13.45      0.15
58620.7175    -19.82      0.15
58624.6730    -20.79      0.19
58635.7006    -24.04      0.20
58638.6316    -24.96      0.20
58664.6258    -16.68      0.16
58698.5189     -3.15      0.15
58705.5246     -0.22      0.16
58717.4766      5.43      0.22
58724.4644      4.14      0.20
58730.4639      3.70      0.18
58889.8722      8.65      0.17
58903.8663     11.28      0.21
58915.7927     11.31      0.19
59247.8153     14.87      0.42
59262.7986     12.18      0.49
59274.7449     15.58      0.47
59290.8404      8.70      0.56
59295.7641      7.36      0.62
59308.7321      2.37      0.69
59323.6793     -7.56      0.90
