# M107 E(B-V)=0.33, (m-M)_0 = 15.05
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
567	16 32 19.221	-13 15 27.22	-0.08	4.19	3.35	3.43	19.9461	18.7789	18.5471	17.9371	1	0
1954	16 32 31.941	-13 05 21.07	-0.02	4.17	3.21	3.22	19.9201	18.6332	18.3383	17.6051	1	0
1971	16 32 32.929	-13 04 10.71	-0.18	4.44	3.64	3.82	20.1934	19.0782	18.9385	17.8125	0	1
2219	16 32 32.992	-13 02 54.12	-0.66	84.24	4.73	5.39	99.9999	20.2132	20.5292	18.8089	0	1
4075	16 32 42.263	-13 02 13.03	-0.14	3.28	2.37	2.51	19.0390	17.8034	17.6243	17.1460	1	0
