# M9 E(B-V)=0.38, (m-M)_0 = 15.67
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
88	17 19 10.900	-18 36 27.94	-0.06	-2.31	-2.89	-2.83	14.1608	13.2092	12.9093	12.4527	1	0
309	17 19 11.253	-18 32 13.78	-0.09	0.42	-0.12	-0.02	16.8932	15.9849	15.7158	15.2696	1	0
348	17 19 12.090	-18 31 16.75	-0.02	0.44	0.27	0.30	16.9090	16.3687	16.0331	15.7233	1	0
499	17 19 12.748	-18 31 16.65	-0.62	1.37	0.43	1.05	17.8494	16.5799	16.8096	15.1386	0	0
576	17 19 14.091	-18 31 10.71	-0.13	1.17	0.52	0.65	17.6435	16.6202	16.3881	15.9996	1	1
613	17 19 14.115	-18 30 47.15	-0.08	1.19	0.39	0.47	17.6640	16.4916	16.2071	15.7714	1	0
674	17 19 14.542	-18 30 40.31	-0.11	1.46	0.51	0.63	17.9304	16.6175	16.3655	15.9963	1	1
850	17 19 15.462	-18 30 29.94	-0.46	1.46	0.73	1.19	17.9413	16.8624	16.9384	16.0331	0	1
914	17 19 17.652	-18 30 28.46	-0.53	1.62	1.40	1.93	18.1013	17.5439	17.6833	16.6403	0	0
2013	17 19 19.894	-18 29 38.56	-0.46	2.38	2.47	2.92	18.8524	18.6001	18.6725	17.6215	0	0
7523	17 19 34.673	-18 26 23.12	-0.55	83.52	3.54	4.09	99.9999	19.6825	19.8399	18.4579	0	0
