# M28 E(B-V)=0.40, (m-M)_0 = 14.95
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
57	18 24 09.774	-24 57 24.51	-0.04	-1.95	-1.37	-1.32	13.8462	14.0277	13.6919	13.3406	1	0
285	18 24 21.087	-24 54 18.22	-0.06	0.21	0.10	0.16	15.9971	15.4974	15.1806	14.7361	1	0
517	18 24 25.712	-24 54 10.81	-0.21	0.66	1.25	1.45	16.4511	16.6548	16.4740	16.0656	1	1
666	18 24 25.970	-24 54 04.69	-0.07	0.77	0.59	0.66	16.5595	15.9873	15.6804	15.3326	1	1
668	18 24 27.513	-24 53 46.26	-0.02	1.30	0.75	0.78	17.0892	16.1452	15.7922	15.5302	1	0
723	18 24 27.691	-24 52 52.62	-0.02	0.94	0.20	0.22	16.7324	15.5889	15.2323	14.8167	1	1
735	18 24 27.858	-24 52 35.01	-0.11	1.02	1.23	1.34	16.8094	16.6318	16.3597	16.0499	1	1
798	18 24 28.509	-24 52 34.85	-0.06	1.00	0.74	0.79	16.7964	16.1328	15.8097	15.4616	1	0
860	18 24 29.154	-24 52 30.96	-0.13	1.57	0.69	0.82	17.3645	16.0893	15.8353	15.0419	0	1
1101	18 24 30.296	-24 52 18.93	-0.01	1.55	0.57	0.58	17.3399	15.9581	15.5935	15.0960	1	1
1141	18 24 33.169	-24 51 46.87	-0.08	1.56	0.77	0.84	17.3484	16.1635	15.8593	15.5037	1	1
1149	18 24 33.786	-24 51 46.01	-0.09	1.32	0.88	0.96	17.1157	16.2737	15.9781	15.5951	1	1
2466	18 24 35.595	-24 51 31.49	-0.58	2.42	2.49	3.07	18.2113	17.9330	18.1055	17.5677	0	1
3324	18 24 36.373	-24 51 15.71	-0.31	2.56	2.61	2.92	18.3565	18.0329	17.9443	17.5149	1	1
3946	18 24 36.472	-24 47 37.16	-0.34	2.99	2.95	3.29	18.7794	18.3737	18.3167	17.9646	1	0
4616	18 24 37.292	-24 46 08.26	-0.41	2.93	2.52	2.93	18.7284	17.9507	17.9615	17.8379	1	0
