# M62 E(B-V)=0.47, (m-M)_0 = 15.63
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
299	17 00 44.130	-30 11 50.95	-0.40	2.91	3.35	3.75	19.5331	19.5352	19.4664	99.9999	1	0
583	17 00 45.812	-30 10 37.00	-0.31	1.71	2.29	2.60	18.3344	18.4667	18.3172	18.0655	1	0
1646	17 00 50.814	-30 08 08.01	-0.08	0.53	-0.15	-0.07	17.1477	15.9961	15.6319	15.1890	1	1
1993	17 01 00.204	-30 07 33.55	-0.19	1.12	0.85	1.04	17.7392	17.0087	16.7466	16.4572	1	0
2317	17 01 01.000	-30 06 45.85	-0.08	0.72	0.59	0.67	17.3387	16.7361	16.3719	15.8475	1	1
3353	17 01 02.424	-30 06 35.07	-0.41	3.26	3.49	3.90	19.8836	19.6732	19.6171	18.9245	0	1
4795	17 01 05.487	-30 06 30.58	-0.02	0.15	-0.30	-0.28	16.7647	15.8406	15.4201	14.8591	1	1
4971	17 01 06.258	-30 06 09.55	-0.26	0.13	0.58	0.84	16.7537	16.7449	16.5482	16.2670	1	0
8951	17 01 08.470	-30 05 52.05	-0.01	-0.35	-0.43	-0.41	16.2651	15.7161	15.2903	14.6575	1	1
9330	17 01 09.162	-30 05 44.56	-0.21	-1.34	-1.02	-0.81	15.2812	15.1411	14.8962	14.5453	1	1
12054	17 01 09.182	-30 05 30.95	-0.14	0.94	1.00	1.14	17.5601	17.1567	16.8487	16.3343	1	1
12282	17 01 10.231	-30 05 24.65	-0.17	0.72	0.77	0.95	17.3370	16.9325	16.6549	16.1825	1	0
13146	17 01 10.544	-30 05 05.63	-0.13	-0.12	-0.39	-0.26	16.4997	15.7609	15.4429	15.0177	1	0
13232	17 01 13.506	-30 04 51.11	-0.47	2.80	3.16	3.63	19.4237	19.3486	19.3479	99.9999	1	1
13681	17 01 13.921	-30 04 48.15	-0.23	0.29	0.25	0.48	16.9093	16.4165	16.1889	15.8098	1	0
15091	17 01 19.672	-30 04 36.67	-0.31	1.53	1.73	2.04	18.1545	17.9026	17.7522	17.2992	1	1
15572	17 01 19.802	-30 04 32.08	-0.10	0.71	0.16	0.27	17.3272	16.3160	15.9744	15.5379	1	1
16888	17 01 24.049	-30 04 16.99	-0.45	2.60	2.95	3.41	19.2182	19.1424	19.1263	18.0201	0	1
17317	17 01 28.386	-30 04 05.91	-0.24	-0.71	-0.45	-0.21	15.9105	15.7176	15.5045	15.2279	1	1
17584	17 01 30.297	-30 02 54.50	-0.30	83.38	0.32	0.62	99.9999	16.4904	16.3363	99.9999	1	1
19407	17 01 32.435	-30 01 04.16	-0.35	2.66	2.69	3.04	19.2817	18.8680	18.7593	18.4446	1	0
19984	17 01 39.741	-30 00 18.40	-0.06	0.50	-0.13	-0.07	17.1159	16.0187	15.6373	15.0752	1	0
20160	17 01 42.365	-30 00 09.99	-0.29	1.05	1.17	1.46	17.6704	17.3440	17.1726	16.8655	1	0
