# M70 E(B-V)=0.07, (m-M)_0 = 14.99
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/17/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
88	18 42 59.183	-32 18 44.07	-0.09	0.19	-0.41	-0.32	15.3318	14.6640	14.6789	15.2655	1	0
447	18 43 02.530	-32 18 43.40	-0.00	2.06	1.02	1.02	17.1925	16.0917	16.0244	15.8736	1	0
468	18 43 03.655	-32 18 20.94	-0.07	1.94	1.51	1.58	17.0823	16.5867	16.5872	16.4208	1	1
488	18 43 05.016	-32 18 04.99	-0.05	1.99	1.08	1.13	17.1228	16.1521	16.1345	16.0524	1	1
514	18 43 09.515	-32 17 47.71	-0.05	1.79	1.03	1.08	16.9229	16.1070	16.0876	16.0349	1	1
521	18 43 10.408	-32 17 16.62	-0.07	1.76	1.25	1.32	16.8984	16.3253	16.3213	16.3112	1	1
620	18 43 10.470	-32 17 08.32	-0.04	2.05	1.20	1.23	17.1882	16.2670	16.2368	16.0177	1	0
664	18 43 12.020	-32 16 53.94	-0.12	1.94	1.56	1.68	17.0741	16.6385	16.6824	16.3220	0	1
688	18 43 13.798	-32 16 48.64	-0.07	1.75	1.43	1.50	16.8863	16.4996	16.4992	16.5050	1	1
716	18 43 13.882	-32 16 19.27	-0.29	1.90	2.34	2.63	17.0410	17.4280	17.6354	17.8289	1	1
743	18 43 14.126	-32 16 15.04	-0.13	2.06	1.62	1.75	17.2026	16.6981	16.7591	16.7571	1	1
808	18 43 16.236	-32 15 01.32	-0.11	2.12	1.65	1.76	17.2612	16.7212	16.7615	16.6686	1	0
1448	18 43 17.582	-32 14 25.69	-0.28	3.25	3.28	3.56	18.3931	18.3625	18.5645	99.9999	1	1
