# ngc2298 E(B-V)=0.14, (m-M)_0 = 15.60
# BlueFlag Note: if (V-I)0 > 0.331 + 1.444 * (B-V)0 thenBlueFlag = 0. Value of 1 is good.
# Note: if BaumgardtCheck = 1, then there is atleast 1 member star within 3"of the candidate star in the cluster V&B21
# File Created: 04/16/2024 (MM/DD/YYYY)
# 	RA		Dec		(B-V)_0	M_u	M_B	M_V	u	B	V	I	BlueFlag	BaumgardtCheck
1965	06 48 47.347	-36 02 12.62	-0.15	1.81	1.12	1.26	17.7094	16.8879	16.8948	16.4046	0	0
2292	06 48 54.054	-36 01 13.10	-0.31	2.51	3.09	3.40	18.4080	18.8684	19.0357	18.9373	0	1
2411	06 48 57.094	-36 00 21.84	-0.35	3.96	3.15	3.50	19.8568	18.9356	19.1360	17.7553	0	1
2686	06 48 58.226	-36 00 16.24	-0.32	3.48	3.91	4.23	19.3809	19.6902	19.8655	19.9494	1	1
3244	06 48 58.687	-36 00 15.59	-0.04	1.70	1.21	1.25	17.5971	16.9711	16.8769	16.4806	1	1
3708	06 48 59.672	-35 59 41.97	-0.05	1.80	1.22	1.27	17.7039	16.9876	16.8978	16.7628	1	1
