HD137387     -15.0817   -0.0382233      39.8926     -24.1382     -27.0521
      29.8383
2.21802      2.21467      2.15589      2.25280      2.43483      2.35657
 -960.0003   -0.033910   -0.028902   -0.028439   -0.030357   -0.030313   -0.030867
 -952.5003   -0.034038   -0.029529   -0.027228   -0.029457   -0.031257   -0.031012
 -945.0003   -0.033490   -0.030985   -0.026881   -0.027860   -0.031700   -0.031204
 -937.5003   -0.032353   -0.032923   -0.027897   -0.025720   -0.031777   -0.030780
 -930.0002   -0.031201   -0.034476   -0.029724   -0.024595   -0.031266   -0.029979
 -922.5002   -0.031358   -0.035425   -0.031435   -0.025552   -0.030180   -0.029462
 -915.0002   -0.033179   -0.036376   -0.032422   -0.028047   -0.029207   -0.029616
 -907.5002   -0.035483   -0.037279   -0.032842   -0.030924   -0.029115   -0.030241
 -900.0002   -0.036813   -0.037744   -0.033224   -0.033407   -0.029924   -0.031096
 -892.5002   -0.036540   -0.037401   -0.034049   -0.034212   -0.030540   -0.031994
 -885.0002   -0.035322   -0.036029   -0.035116   -0.032890   -0.030459   -0.033182
 -877.5002   -0.034544   -0.034194   -0.035670   -0.030848   -0.029813   -0.034509
 -870.0002   -0.034785   -0.032564   -0.035103   -0.029718   -0.029452   -0.035780
 -862.5002   -0.035606   -0.031459   -0.033244   -0.029982   -0.029646   -0.036731
 -855.0002   -0.036065   -0.030775   -0.030643   -0.030918   -0.029755   -0.037216
 -847.5002   -0.035351   -0.030295   -0.028521   -0.031666   -0.029256   -0.037236
 -840.0002   -0.033476   -0.029651   -0.027456   -0.031379   -0.028201   -0.037304
 -832.5002   -0.030648   -0.028445   -0.026694   -0.029932   -0.027063   -0.037673
 -825.0002   -0.027227   -0.026304   -0.025532   -0.028299   -0.026038   -0.037758
 -817.5002   -0.023515   -0.023135   -0.024109   -0.027165   -0.025111   -0.036873
 -810.0002   -0.019999   -0.019726   -0.022993   -0.026564   -0.024207   -0.035199
 -802.5002   -0.018002   -0.017052   -0.022366   -0.026550   -0.023815   -0.033338
 -795.0002   -0.018408   -0.015445   -0.022188   -0.027403   -0.024200   -0.032051
 -787.5002   -0.020529   -0.014926   -0.021650   -0.028995   -0.025030   -0.031325
 -780.0002   -0.022296   -0.015389   -0.020338   -0.030735   -0.026131   -0.030853
 -772.5002   -0.022808   -0.016958   -0.018497   -0.032091   -0.027222   -0.030421
 -765.0002   -0.022820   -0.019019   -0.016917   -0.032485   -0.027830   -0.030055
 -757.5002   -0.023103   -0.020202   -0.016504   -0.031226   -0.027390   -0.029621
 -750.0002   -0.023195   -0.019767   -0.017194   -0.028585   -0.026167   -0.029024
 -742.5002   -0.022744   -0.018294   -0.018370   -0.025520   -0.024818   -0.028538
 -735.0002   -0.022283   -0.017165   -0.018958   -0.022671   -0.022809   -0.028403
 -727.5002   -0.021962   -0.017121   -0.018399   -0.019834   -0.020402   -0.028165
 -720.0002   -0.021081   -0.017468   -0.017389   -0.017133   -0.018310   -0.027279
 -712.5002   -0.019450   -0.017245   -0.016694   -0.014861   -0.016444   -0.026068
